Groups:
ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[11..0] =, ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[11], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[10], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[9], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[8], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[7], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[6], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[5], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[4], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[3], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[2], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[1], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[0],  hex

Data:
time unit: s, ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[11..0], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[11], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[10], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[9], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[8], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[7], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[6], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[5], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[4], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[3], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[2], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[1], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[0], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_valid, 
0, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
8, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
11, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
12, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
13, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
14, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
15, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
16, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
17, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
18, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
19, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
20, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
21, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
22, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
23, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
24, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
26, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
27, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
28, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
29, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
31, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
32, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
33, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
34, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
35, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
36, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
37, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
38, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
39, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
40, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
41, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
42, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
43, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
44, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
45, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
46, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
47, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
48, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
49, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
50, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
51, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
52, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
53, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
54, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
55, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
56, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
57, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
58, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
59, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
60, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
61, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
62, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
63, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
64, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
65, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
66, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
67, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
68, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
69, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
70, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
71, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
72, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
73, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
74, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
75, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
76, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
77, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
78, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
79, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
80, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
81, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
82, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
83, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
84, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
85, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
86, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
87, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
