// FIRST FFT
10. 32767.000000
20. 32767.000000
29. 32767.000000
39. 32767.000000
68. 13.000000
78. 13.000000
107. 10.000000
117. 10.000000
156. 3.000000
1562. 0.000000
1562. 0.000000
1610. 0.000000
1620. 0.000000
1649. 0.000000
1659. 0.000000
1688. 0.000000
1698. 0.000000

// second FFT
10. 32767.000000
20. 32767.000000
29. 32767.000000
39. 32767.000000
68. 21.000000
78. 21.000000
107. 11.000000
117.11.000000
156. 3.000000
1610. 0.000000
1620. 0.000000
1649. 0.000000
1659. 0.000000
1688. 0.000000
1698. 0.000000
